repo,avg_commits_per_week
django/django,18.35
pallets/werkzeug,1.87
encode/starlette,2.71
fastapi/fastapi,17.62
pandas-dev/pandas,30.88
numpy/numpy,53.29
scikit-learn/scikit-learn,33.44
matplotlib/matplotlib,42.94
pytorch/pytorch,284.69
tensorflow/tensorflow,282.44
huggingface/transformers,72.27
dask/dask,11.13
statsmodels/statsmodels,6.67
seaborn/seaborn,0.0
psf/requests,0.85
kennethreitz/certifi,1.02
pyinstaller/pyinstaller,8.85
ansible/ansible,11.75
fabric/fabric,0.0
pytest-dev/pytest,16.38
tox-dev/tox,2.44
python/mypy,14.33
pypa/pip,12.42
pypa/setuptools,29.44
psf/black,2.63
scipy/scipy,58.02
sympy/sympy,40.85
biopython/biopython,6.38
paramiko/paramiko,0.35
scrapy/scrapy,7.37
urllib3/urllib3,1.96
python-telegram-bot/python-telegram-bot,3.69
pypa/virtualenv,2.02
cookiecutter/cookiecutter,0.33
psycopg/psycopg2,0.87
sqlalchemy/sqlalchemy,9.19
celery/celery,7.25
boto/boto3,10.27
home-assistant/core,348.54
saltstack/salt,27.56
jupyter/notebook,2.27
python-poetry/poetry,6.62
rq/rq,1.62
pyca/cryptography,31.37
arrow-py/arrow,0.46
gitpython-developers/GitPython,2.62
redis/redis-py,2.9
