name,stars,forks,releases,last_updated,domain
django/django,82827,32398,0,2025-03-22 21:27:23+00:00,python
pallets/werkzeug,6725,1739,49,2025-03-21 11:23:30+00:00,python
encode/starlette,10754,983,72,2025-03-22 13:24:52+00:00,python
fastapi/fastapi,82352,7112,203,2025-03-22 23:50:12+00:00,python
pandas-dev/pandas,44926,18361,109,2025-03-22 23:02:21+00:00,python
numpy/numpy,29117,10615,126,2025-03-22 21:25:02+00:00,python
scikit-learn/scikit-learn,61515,25710,45,2025-03-22 19:21:44+00:00,python
matplotlib/matplotlib,20917,7801,92,2025-03-22 23:46:40+00:00,python
pytorch/pytorch,88136,23655,58,2025-03-22 22:28:46+00:00,python
tensorflow/tensorflow,188786,74597,216,2025-03-22 23:16:36+00:00,python
huggingface/transformers,141750,28366,184,2025-03-22 23:56:16+00:00,python
dask/dask,13048,1751,22,2025-03-22 12:15:44+00:00,python
statsmodels/statsmodels,10522,3250,29,2025-03-22 00:08:44+00:00,python
seaborn/seaborn,34,22,0,2024-11-03 02:30:01+00:00,python
psf/requests,52632,9410,12,2025-03-22 22:09:13+00:00,python
certifi/python-certifi,873,264,0,2025-03-22 08:02:31+00:00,python
pyinstaller/pyinstaller,12228,1969,70,2025-03-22 22:16:33+00:00,python
ansible/ansible,64377,23997,135,2025-03-22 23:24:21+00:00,python
fabric/fabric,15052,1943,0,2025-03-22 18:55:40+00:00,python
pytest-dev/pytest,12555,2769,75,2025-03-22 19:55:09+00:00,python
tox-dev/tox,3774,531,115,2025-03-22 22:06:43+00:00,python
python/mypy,19091,2893,0,2025-03-22 23:04:57+00:00,python
pypa/pip,9704,3071,0,2025-03-22 21:42:47+00:00,python
pypa/setuptools,2611,1248,205,2025-03-22 12:23:28+00:00,python
psf/black,39953,2561,46,2025-03-22 23:04:25+00:00,python
scipy/scipy,13477,5296,98,2025-03-22 23:19:32+00:00,python
sympy/sympy,13446,4627,55,2025-03-22 20:37:55+00:00,python
biopython/biopython,4539,1782,0,2025-03-22 20:21:36+00:00,python
paramiko/paramiko,9294,2012,0,2025-03-22 15:18:11+00:00,python
scrapy/scrapy,54621,10714,39,2025-03-22 21:52:19+00:00,python
urllib3/urllib3,3852,1177,51,2025-03-22 23:05:47+00:00,python
python-telegram-bot/python-telegram-bot,27184,5555,124,2025-03-22 21:26:05+00:00,python
pypa/virtualenv,4882,1041,53,2025-03-21 08:20:07+00:00,python
cookiecutter/cookiecutter,23249,2055,29,2025-03-22 23:04:25+00:00,python
psycopg/psycopg2,3438,511,0,2025-03-22 12:20:17+00:00,python
sqlalchemy/sqlalchemy,10202,1492,177,2025-03-22 23:02:34+00:00,python
celery/celery,25868,4751,51,2025-03-22 21:54:37+00:00,python
boto/boto3,9255,1904,14,2025-03-22 13:10:24+00:00,python
home-assistant/core,77250,32953,1417,2025-03-22 23:55:01+00:00,python
saltstack/salt,14422,5521,203,2025-03-22 20:42:01+00:00,python
jupyter/notebook,12128,5154,114,2025-03-22 17:45:16+00:00,python
python-poetry/poetry,32867,2330,139,2025-03-22 16:04:10+00:00,python
rq/rq,10080,1431,33,2025-03-22 22:04:54+00:00,python
pyca/cryptography,6948,1582,0,2025-03-22 03:08:25+00:00,python
arrow-py/arrow,8822,694,45,2025-03-22 20:04:46+00:00,python
gitpython-developers/GitPython,4786,931,15,2025-03-21 22:51:35+00:00,python
redis/redis-py,12939,2574,77,2025-03-22 06:07:12+00:00,python
