repo,team_size
django/django,393
pallets/werkzeug,412
encode/starlette,284
fastapi/fastapi,463
pandas-dev/pandas,412
numpy/numpy,434
scikit-learn/scikit-learn,410
matplotlib/matplotlib,422
pytorch/pytorch,325
tensorflow/tensorflow,409
huggingface/transformers,437
dask/dask,416
statsmodels/statsmodels,383
seaborn/seaborn,183
psf/requests,403
kennethreitz/certifi,36
pyinstaller/pyinstaller,391
ansible/ansible,377
fabric/fabric,17
pytest-dev/pytest,373
tox-dev/tox,97
python/mypy,409
pypa/pip,398
pypa/setuptools,388
psf/black,443
scipy/scipy,418
sympy/sympy,444
biopython/biopython,314
paramiko/paramiko,137
scrapy/scrapy,373
urllib3/urllib3,322
python-telegram-bot/python-telegram-bot,179
pypa/virtualenv,133
cookiecutter/cookiecutter,277
psycopg/psycopg2,114
sqlalchemy/sqlalchemy,407
celery/celery,394
boto/boto3,138
home-assistant/core,412
saltstack/salt,286
jupyter/notebook,372
python-poetry/poetry,439
rq/rq,289
pyca/cryptography,311
arrow-py/arrow,253
gitpython-developers/GitPython,277
redis/redis-py,414
