repo,open_issues_latest,closed_issues_latest,total_issues_latest
django/django,0,0,0
flask/flask,error,error,error
pallets/werkzeug,7,993,1000
encode/starlette,20,724,744
fastapi/fastapi,38,962,1000
pandas-dev/pandas,430,570,1000
numpy/numpy,289,711,1000
scikit-learn/scikit-learn,275,725,1000
matplotlib/matplotlib,347,653,1000
pytorch/pytorch,674,326,1000
tensorflow/tensorflow,288,712,1000
huggingface/transformers,291,709,1000
dask/dask,390,610,1000
statsmodels/statsmodels,666,334,1000
seaborn/seaborn,0,0,0
psf/requests,110,890,1000
kennethreitz/certifi,4,147,151
pyinstaller/pyinstaller,55,945,1000
ansible/ansible,192,808,1000
fabric/fabric,342,658,1000
pytest-dev/pytest,270,730,1000
tox-dev/tox,116,884,1000
python/mypy,534,466,1000
pypa/pip,297,703,1000
pypa/setuptools,283,717,1000
psf/black,215,785,1000
flake8/flake8,error,error,error
scipy/scipy,298,702,1000
sympy/sympy,540,460,1000
biopython/biopython,300,700,1000
paramiko/paramiko,error,error,error
scrapy/scrapy,error,error,error
urllib3/urllib3,error,error,error
python-telegram-bot/python-telegram-bot,error,error,error
pypa/virtualenv,error,error,error
click-contrib/click,error,error,error
theacodes/coveragepy,error,error,error
cookiecutter/cookiecutter,error,error,error
psycopg/psycopg2,error,error,error
sqlalchemy/sqlalchemy,error,error,error
celery/celery,error,error,error
boto/boto3,error,error,error
home-assistant/core,error,error,error
saltstack/salt,error,error,error
jupyter/notebook,error,error,error
python-poetry/poetry,error,error,error
rq/rq,error,error,error
pyca/cryptography,error,error,error
arrow-py/arrow,error,error,error
pendulum/pendulum,error,error,error
gitpython-developers/GitPython,error,error,error
redis/redis-py,error,error,error
