repo,issue_id,created_at,closed_at,state,labels
pallets/werkzeug,3032,2025-03-10 12:14:05+00:00,,open,[]
pallets/werkzeug,3009,2024-11-16 17:57:01+00:00,,open,[]
pallets/werkzeug,3007,2024-11-13 02:10:57+00:00,,open,[]
pallets/werkzeug,3005,2024-11-11 16:20:40+00:00,,open,[]
pallets/werkzeug,3000,2024-11-11 07:56:51+00:00,,open,[]
pallets/werkzeug,2924,2024-07-16 06:02:35+00:00,,open,[]
pallets/werkzeug,1309,2018-05-21 14:04:50+00:00,,open,['debugger']
pallets/werkzeug,3035,2025-04-04 18:32:58+00:00,2025-04-04 18:46:31+00:00,closed,[]
pallets/werkzeug,3033,2025-03-17 21:12:41+00:00,2025-03-17 22:29:01+00:00,closed,[]
pallets/werkzeug,3028,2025-02-18 17:03:56+00:00,2025-02-18 17:10:11+00:00,closed,[]
pallets/werkzeug,3027,2025-02-18 16:59:12+00:00,2025-02-18 17:13:46+00:00,closed,[]
pallets/werkzeug,3025,2025-01-29 19:33:16+00:00,2025-01-29 20:38:46+00:00,closed,[]
pallets/werkzeug,3023,2025-01-27 10:59:36+00:00,2025-01-27 16:32:10+00:00,closed,[]
pallets/werkzeug,3019,2025-01-22 14:35:05+00:00,2025-01-31 22:05:39+00:00,closed,[]
pallets/werkzeug,3003,2024-11-11 14:59:37+00:00,2024-11-11 15:17:37+00:00,closed,[]
pallets/werkzeug,3002,2024-11-11 09:18:03+00:00,2024-11-11 15:50:56+00:00,closed,[]
pallets/werkzeug,2999,2024-11-08 18:07:26+00:00,2024-11-10 00:34:16+00:00,closed,[]
pallets/werkzeug,2996,2024-11-07 09:12:25+00:00,2024-11-07 14:36:48+00:00,closed,[]
pallets/werkzeug,2994,2024-11-06 14:49:37+00:00,2024-11-06 19:56:23+00:00,closed,[]
pallets/werkzeug,2993,2024-11-06 05:05:41+00:00,2024-11-07 16:34:30+00:00,closed,[]
pallets/werkzeug,2989,2024-11-04 13:02:44+00:00,2024-11-04 17:14:54+00:00,closed,[]
pallets/werkzeug,2988,2024-11-04 06:12:39+00:00,2024-11-04 16:03:22+00:00,closed,[]
pallets/werkzeug,2985,2024-11-01 08:50:47+00:00,2024-11-01 16:43:37+00:00,closed,[]
pallets/werkzeug,2982,2024-10-31 12:26:20+00:00,2024-10-31 16:42:37+00:00,closed,[]
pallets/werkzeug,2980,2024-10-30 04:08:41+00:00,2024-10-31 03:37:58+00:00,closed,[]
pallets/werkzeug,2977,2024-10-30 00:31:47+00:00,2024-10-30 02:40:14+00:00,closed,[]
pallets/werkzeug,2976,2024-10-30 00:27:28+00:00,2024-10-30 00:44:58+00:00,closed,[]
pallets/werkzeug,2973,2024-10-29 18:53:21+00:00,2024-10-30 00:18:06+00:00,closed,[]
pallets/werkzeug,2972,2024-10-28 15:34:37+00:00,2024-10-28 15:42:54+00:00,closed,[]
pallets/werkzeug,2970,2024-10-27 23:44:16+00:00,2024-10-29 23:33:37+00:00,closed,[]
pallets/werkzeug,2969,2024-10-27 23:42:23+00:00,2024-10-27 23:48:12+00:00,closed,[]
pallets/werkzeug,2968,2024-10-27 23:06:12+00:00,2024-10-30 00:01:08+00:00,closed,[]
encode/starlette,2912,2025-03-20 10:36:26+00:00,,open,[]
encode/starlette,2893,2025-02-28 21:40:36+00:00,,open,[]
encode/starlette,2766,2024-11-25 13:26:32+00:00,,open,[]
encode/starlette,2726,2024-10-13 16:42:12+00:00,,open,[]
encode/starlette,2673,2024-08-27 12:30:25+00:00,,open,[]
encode/starlette,2390,2023-12-29 09:34:59+00:00,,open,['feature']
encode/starlette,2155,2023-05-26 09:18:53+00:00,,open,['feature']
encode/starlette,2019,2023-01-27 19:49:14+00:00,,open,['need confirmation']
encode/starlette,1921,2022-10-25 09:16:13+00:00,,open,"['documentation', 'good first issue']"
encode/starlette,1855,2022-09-10 06:51:53+00:00,,open,['need confirmation']
