name,stars,forks,releases,last_updated,domain
django/django,82459,32290,0,2025-02-24 07:51:46+00:00,python
pallets/werkzeug,6699,1737,49,2025-02-19 04:37:49+00:00,python
encode/starlette,10633,968,71,2025-02-24 05:03:27+00:00,python
fastapi/fastapi,81281,6996,200,2025-02-24 08:34:22+00:00,python
pandas-dev/pandas,44667,18258,109,2025-02-24 07:42:28+00:00,python
numpy/numpy,28894,10492,125,2025-02-24 06:34:13+00:00,python
scikit-learn/scikit-learn,61213,25621,45,2025-02-24 07:20:45+00:00,python
matplotlib/matplotlib,20788,7769,91,2025-02-23 20:32:58+00:00,python
pytorch/pytorch,87177,23437,58,2025-02-24 08:31:20+00:00,python
tensorflow/tensorflow,188228,74547,213,2025-02-24 08:42:30+00:00,python
huggingface/transformers,140044,28078,180,2025-02-24 08:43:49+00:00,python
dask/dask,12964,1746,21,2025-02-24 06:45:36+00:00,python
statsmodels/statsmodels,10444,3236,29,2025-02-24 05:25:04+00:00,python
seaborn/seaborn,34,22,0,2024-11-03 02:30:01+00:00,python
psf/requests,52546,9386,12,2025-02-24 03:45:14+00:00,python
certifi/python-certifi,859,260,0,2025-02-19 12:27:20+00:00,python
pyinstaller/pyinstaller,12147,1961,70,2025-02-24 05:49:13+00:00,python
ansible/ansible,64133,23975,131,2025-02-24 08:40:19+00:00,python
fabric/fabric,15021,1939,0,2025-02-24 04:26:53+00:00,python
pytest-dev/pytest,12447,2750,74,2025-02-23 15:41:04+00:00,python
tox-dev/tox,3746,530,114,2025-02-23 18:11:38+00:00,python
python/mypy,18965,2885,0,2025-02-23 23:26:32+00:00,python
pypa/pip,9654,3064,0,2025-02-23 22:35:05+00:00,python
pypa/setuptools,2596,1244,195,2025-02-24 07:54:56+00:00,python
psf/black,39798,2537,46,2025-02-24 08:44:48+00:00,python
scipy/scipy,13394,5260,98,2025-02-24 03:32:12+00:00,python
sympy/sympy,13334,4575,55,2025-02-24 07:44:22+00:00,python
biopython/biopython,4496,1775,0,2025-02-24 08:14:07+00:00,python
paramiko/paramiko,9258,2010,0,2025-02-24 02:30:45+00:00,python
scrapy/scrapy,54292,10672,39,2025-02-24 08:44:13+00:00,python
urllib3/urllib3,3842,1173,51,2025-02-22 07:39:24+00:00,python
python-telegram-bot/python-telegram-bot,27015,5503,121,2025-02-24 03:45:41+00:00,python
pypa/virtualenv,4874,1036,52,2025-02-23 12:20:02+00:00,python
cookiecutter/cookiecutter,23102,2043,29,2025-02-24 07:45:17+00:00,python
psycopg/psycopg2,3419,509,0,2025-02-23 15:32:02+00:00,python
sqlalchemy/sqlalchemy,10059,1486,176,2025-02-24 00:51:58+00:00,python
celery/celery,25638,4725,50,2025-02-24 05:34:46+00:00,python
boto/boto3,9200,1895,14,2025-02-24 06:40:46+00:00,python
home-assistant/core,76704,32617,1403,2025-02-24 08:38:27+00:00,python
saltstack/salt,14361,5513,202,2025-02-23 22:17:27+00:00,python
jupyter/notebook,12046,5125,111,2025-02-24 05:51:06+00:00,python
python-poetry/poetry,32646,2321,139,2025-02-24 08:21:46+00:00,python
rq/rq,10035,1424,32,2025-02-24 06:34:19+00:00,python
pyca/cryptography,6906,1571,0,2025-02-24 07:33:54+00:00,python
arrow-py/arrow,8803,691,45,2025-02-23 11:59:20+00:00,python
gitpython-developers/GitPython,4753,923,15,2025-02-24 03:34:52+00:00,python
redis/redis-py,12886,2557,77,2025-02-24 08:24:08+00:00,python
